epoch,lr,train_loss,train_loss_hard,train_loss_soft,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,4.564470517578125,3.989709768218994,0.1521455939245224,7.936,26.084,3.7879341175079344,10.47,34.22,10.47,27.24874210357666
2,0.1,3.871334679107666,3.360475215988159,0.1323292279458046,17.46,45.186,3.272143447113037,19.91,49.46,19.91,26.952148914337158
3,0.1,3.355085496673584,2.8959192604064943,0.11699346906900406,25.672,57.836,3.1524791999816895,23.67,54.82,23.67,26.951376914978027
4,0.1,2.9960588157653807,2.570492742462158,0.10665865312099457,31.98,65.886,2.773472937011719,29.9,64.05,29.9,26.811461210250854
5,0.1,2.7470383719635008,2.3518222807312013,0.09849974177837371,36.666,70.932,2.6173491115570067,34.51,67.01,34.51,26.827762842178345
6,0.1,2.5655776586151124,2.1886915436172485,0.09308676748991013,40.626,74.4,2.4386211681365966,36.62,70.7,36.62,26.781523942947388
7,0.1,2.44594791595459,2.082611734237671,0.08931209167957306,42.788,76.432,2.3776803611755373,39.11,71.52,39.11,26.78852605819702
8,0.1,2.339486336593628,1.9888278899383545,0.08586582372665405,45.218,78.434,2.474626171875,36.95,70.91,39.11,26.769699811935425
9,0.1,2.2608443703460694,1.9187079018783568,0.08343863940238952,46.62,79.678,2.567259940338135,37.95,71.21,39.11,26.829708099365234
10,0.1,2.1970854081726072,1.8618692395401002,0.08146923907279968,47.954,80.666,2.1774296604156493,43.1,75.72,43.1,27.018988132476807
11,0.1,2.163579829940796,1.8333404626083374,0.08024585103273392,49.072,81.324,2.257427834701538,42.57,75.32,43.1,26.768084049224854
12,0.1,2.117489654388428,1.7924436852264405,0.07879537099599838,49.918,81.888,2.1295525657653807,43.82,76.93,43.82,26.81376814842224
13,0.1,2.086802228164673,1.7663658885192872,0.07766765127182007,50.496,82.302,2.6699976917266848,38.7,70.96,43.82,26.749873876571655
14,0.1,2.0463529217529297,1.7302844358825684,0.07642140119552612,51.474,82.82,2.2738577514648437,42.21,76.17,43.82,26.759800910949707
15,0.1,2.031713396873474,1.7170010905838013,0.07600194582223892,51.69,83.166,2.149043945503235,45.25,76.63,45.25,26.911566019058228
16,0.1,2.0019975751495362,1.6907208694076539,0.07505450468063354,52.452,83.504,2.6455410633087157,38.74,71.26,45.25,26.780823707580566
17,0.1,1.9833747733688354,1.6751494680023193,0.07433441986560821,52.718,83.782,2.0354379131317137,46.08,78.34,46.08,26.79326629638672
18,0.1,1.9694778779602051,1.6629108994293214,0.07388407795190811,53.346,83.882,2.113182586669922,45.98,77.73,46.08,27.560474157333374
19,0.1,1.9446886508560182,1.6401178510284424,0.07321603473901749,53.674,84.352,1.9870802925109863,47.08,78.99,47.08,27.308874130249023
20,0.1,1.9436915246582032,1.6405115564727784,0.0730048685503006,53.672,84.314,2.37575145111084,40.34,73.48,47.08,26.835674047470093
21,0.1,1.9312320570373536,1.6291869205474854,0.07265060333013534,53.888,84.538,2.2443374645233156,43.62,75.58,47.08,27.08324408531189
22,0.1,1.915152792816162,1.61440542011261,0.07221686617970467,54.378,84.902,1.984577666091919,48.15,79.56,48.15,26.82556700706482
23,0.1,1.9096679069900513,1.6099711904144287,0.07198341758489608,54.314,84.828,2.1467474018096926,46.57,78.14,48.15,26.794699907302856
24,0.1,1.903207644996643,1.6036286931610106,0.07186591412067413,54.682,84.896,2.053596041107178,46.04,78.15,48.15,26.925317764282227
25,0.1,1.8921082508850098,1.595246000328064,0.0713104507136345,54.658,85.202,2.1555282848358153,44.64,77.68,48.15,26.77870011329651
26,0.1,1.888445174484253,1.5920462662506103,0.07118805724620819,54.808,85.226,1.9380539945602417,48.75,80.53,48.75,27.779217958450317
27,0.1,1.8682490684509276,1.5727485876464844,0.07074615103006363,55.256,85.336,2.1732258937835693,46.83,78.05,48.75,26.983015775680542
28,0.1,1.872203600921631,1.5782543078231812,0.07058980524539947,55.42,85.376,1.947535355758667,48.33,79.67,48.75,26.9238178730011
29,0.1,1.8619924710845948,1.5680268685150147,0.0704325496339798,55.394,85.344,2.4926296478271484,41.03,73.14,48.75,26.950647115707397
30,0.1,1.8586656220245361,1.5650081942749023,0.07033723033189773,55.79,85.554,2.3979495948791505,43.54,74.63,48.75,27.09885597229004
31,0.1,1.8527439622116089,1.5597411450576781,0.07015265043973923,55.712,85.604,2.0280648933410643,46.84,78.8,48.75,26.821134090423584
32,0.1,1.850291362762451,1.5585217728042602,0.0699409058046341,55.88,85.836,2.0038073501586915,47.33,78.57,48.75,26.933845043182373
33,0.1,1.8372683531188965,1.5451838024902345,0.06978171189308166,55.9,85.792,2.000874649810791,48.42,79.13,48.75,26.822179079055786
34,0.1,1.8407476224899293,1.5474976566314698,0.06999996227741241,56.048,85.866,2.1313347915649414,46.1,76.7,48.75,26.933927059173584
35,0.1,1.8374683791351318,1.5470272082519532,0.06955373723268508,56.092,85.898,2.0559376682281494,46.92,79.04,48.75,27.068109035491943
36,0.1,1.823250004081726,1.5339797056198121,0.06916692158460618,56.268,85.988,1.950440892791748,49.44,79.45,49.44,26.69552516937256
37,0.1,1.8278227481460572,1.5387077951812744,0.06921652559518814,56.5,85.978,1.8726440723419189,50.22,81.2,50.22,26.857695817947388
38,0.1,1.8183869952392577,1.5305092200088501,0.0688951124715805,56.236,86.034,2.3693733020782473,44.56,75.7,50.22,27.112596035003662
39,0.1,1.81814768989563,1.5292965407943726,0.06902825448989869,56.488,86.068,2.255796706390381,45.18,75.79,50.22,26.990206956863403
40,0.1,1.8134982077026367,1.5264096701431273,0.0687077390909195,56.516,86.066,2.479989678955078,41.52,73.26,50.22,27.096436023712158
41,0.1,1.811365999069214,1.5231662491989135,0.06883068745374679,56.622,86.282,1.9393899660110474,49.06,79.48,50.22,27.052981853485107
42,0.1,1.8092717556381226,1.5224162573623656,0.06860892980575561,56.756,86.232,2.332364750671387,44.25,75.32,50.22,27.050454139709473
43,0.1,1.8011298558807374,1.5147756619644166,0.06841121642827988,56.616,86.502,2.0647384963989257,47.5,79.01,50.22,27.282038927078247
44,0.1,1.8033473708343506,1.515381478805542,0.06867251009702682,56.474,86.46,2.0271835906982423,48.06,78.79,50.22,27.37010097503662
45,0.1,1.796559380569458,1.5103288968658448,0.06832240651845932,57.154,86.394,2.1628444231033326,45.84,77.92,50.22,26.86880588531494
46,0.1,1.8036921263122558,1.517805380744934,0.06838551733493804,56.748,86.254,2.112823148345947,46.71,77.85,50.22,26.75425887107849
47,0.1,1.7897255220413208,1.503035322303772,0.06828027439594268,57.222,86.488,1.9248200008392333,50.03,80.29,50.22,27.6638400554657
48,0.1,1.786601354675293,1.5003963652801513,0.06816322642564773,57.148,86.502,2.0051843338012696,48.49,79.37,50.22,26.605548858642578
49,0.1,1.7887173834228516,1.5035659426498413,0.06804813430547714,57.192,86.508,1.9418241622924806,49.36,80.83,50.22,25.95107674598694
50,0.1,1.785621187438965,1.5000009353637695,0.06806568229436874,57.306,86.514,2.0296675397872925,48.0,78.83,50.22,25.68841314315796
51,0.1,1.7749493686676026,1.4900105563354493,0.06780310822963714,57.494,86.716,2.054009122276306,48.84,78.52,50.22,554.9388480186462
52,0.1,1.7826142566299439,1.4976702759170533,0.06792359929561614,57.464,86.678,2.1065625965118406,47.42,78.41,50.22,94.88849568367004
53,0.1,1.7739387965393068,1.4906508065795898,0.06755517091989517,57.34,86.776,2.209454885482788,45.35,76.06,50.22,27.080476760864258
54,0.1,1.7740674161148071,1.4890771311950683,0.06779656596660615,57.5,86.778,2.027872203826904,48.54,78.75,50.22,27.316771984100342
55,0.1,1.7688150581359863,1.48476279876709,0.06758258753538132,57.57,86.7,2.079003085899353,45.51,77.77,50.22,27.25490713119507
56,0.1,1.7775154859924316,1.4931058699798585,0.06776878603458404,57.364,86.742,1.7505461242675782,52.68,83.13,52.68,27.125069856643677
57,0.1,1.767807152557373,1.4862054305267334,0.06722223181962966,57.482,86.736,2.1192862983703615,47.23,77.91,52.68,26.863850116729736
58,0.1,1.7797782802581787,1.4955060967254639,0.06778481529474259,57.518,86.7,1.908667378616333,50.71,82.04,52.68,27.167098999023438
59,0.1,1.7659591235733032,1.4835406167984009,0.0673082174539566,57.598,86.902,1.9432923259735106,49.8,78.75,52.68,26.912015914916992
60,0.010000000000000002,1.7670305452346802,1.4828887450027466,0.06756729671955108,57.732,86.934,1.8239137763977051,51.64,81.71,52.68,26.809710025787354
61,0.010000000000000002,1.3650594882965088,1.1180456881713867,0.05606537284731865,67.514,91.706,1.2348640712738037,64.74,89.77,64.74,26.78239893913269
62,0.010000000000000002,1.2404585203361511,1.012019700126648,0.05150637566447258,70.148,92.94,1.2064406276702881,65.5,90.39,65.5,26.247342109680176
63,0.010000000000000002,1.1910154774093629,0.9684274539184571,0.049911060237884525,71.168,93.436,1.2114437381744385,65.9,90.54,65.9,27.0746169090271
64,0.010000000000000002,1.1616786433029176,0.9431026075935364,0.04888848671674728,72.152,93.838,1.1993761127471925,66.28,90.62,66.28,26.81771206855774
65,0.010000000000000002,1.1407673492622374,0.9251996902656555,0.04813869422197342,72.56,94.026,1.20264395904541,66.05,90.79,66.28,26.827396154403687
66,0.010000000000000002,1.1218518891143798,0.9078038970565796,0.047629437310695646,72.902,94.22,1.1946742916107178,66.08,90.86,66.28,26.842799186706543
67,0.010000000000000002,1.1056665713500977,0.8919126284027099,0.04733519045710564,73.274,94.354,1.2031435375213624,65.95,90.72,66.28,27.13999915122986
68,0.010000000000000002,1.0901031703948976,0.8769164337158203,0.0470122497177124,73.722,94.61,1.2009628314971923,66.56,90.79,66.56,26.789298057556152
69,0.010000000000000002,1.0839232331848145,0.8715959917831421,0.04679482119679451,73.6,94.734,1.1888529289245606,66.34,90.88,66.56,27.125664949417114
70,0.010000000000000002,1.071908787765503,0.860340935497284,0.04650030646204949,74.088,94.792,1.1999223543167115,66.26,90.89,66.56,26.917203187942505
71,0.010000000000000002,1.0640394549179077,0.8529232879829407,0.04631383021593094,74.29,94.762,1.221457751083374,65.69,90.54,66.56,26.781821966171265
72,0.010000000000000002,1.0577992865753174,0.8463589396286011,0.0462619149184227,74.348,95.072,1.212172759437561,66.21,90.47,66.56,26.8145170211792
73,0.010000000000000002,1.0532537816619874,0.8412869578170776,0.046264926859140396,74.708,95.024,1.2012887014389038,66.77,90.89,66.77,26.793912172317505
74,0.010000000000000002,1.048934155731201,0.8379266502189636,0.04606252927660942,74.8,95.116,1.224242907333374,66.0,90.72,66.77,26.824023962020874
75,0.010000000000000002,1.0437003077697753,0.8328824195861816,0.04595408534765243,74.796,95.296,1.21117097530365,66.49,90.73,66.77,26.790992975234985
76,0.010000000000000002,1.0398447425079345,0.8286397870254517,0.04594827336668968,74.912,95.24,1.2331199522018432,66.0,90.83,66.77,26.80607795715332
77,0.010000000000000002,1.037996849861145,0.8269091289901733,0.04590291396379471,74.948,95.292,1.2528550722122191,65.43,90.23,66.77,26.77712321281433
78,0.010000000000000002,1.0318993176841735,0.8187642511177063,0.04609554750442505,75.216,95.344,1.2396929054260253,66.25,90.31,66.77,26.766189098358154
79,0.010000000000000002,1.0236614776039124,0.8124079621505738,0.04570223830938339,75.36,95.454,1.2386116064071655,65.92,90.4,66.77,26.80401086807251
80,0.0010000000000000002,1.0236212952804566,0.8114456695365906,0.045831282321214674,75.258,95.454,1.2105412605285644,66.21,90.71,66.77,26.77494764328003
81,0.0010000000000000002,0.9258640551757813,0.7198490510940552,0.04343748755455017,78.23,96.302,1.129270680999756,68.17,91.77,68.17,26.752264976501465
82,0.0010000000000000002,0.8961691979598999,0.6926230960845947,0.0426263157916069,79.174,96.548,1.1247558151245116,68.74,91.73,68.74,26.82867980003357
83,0.0010000000000000002,0.8868639292907715,0.683474458618164,0.042458894803524015,79.264,96.692,1.1255999124526979,68.42,91.69,68.74,26.819232940673828
84,0.0010000000000000002,0.8801769571685791,0.6773396295356751,0.04227676569223404,79.662,96.71,1.1243045686721802,68.6,91.74,68.74,26.80274724960327
85,0.0010000000000000002,0.8748403737258911,0.6728952765274048,0.04206791166067123,79.766,96.668,1.1280017498016357,68.41,91.78,68.74,26.825247049331665
86,0.0010000000000000002,0.8713698834609985,0.670078316001892,0.0419217818748951,79.846,96.756,1.1188521915435792,68.8,92.01,68.8,26.79948592185974
87,0.0010000000000000002,0.8670230609893799,0.6651774952697754,0.04193176921725273,80.088,96.8,1.1249849462509156,68.61,91.99,68.8,26.84732699394226
