epoch,lr,train_loss,train_loss_hard,train_loss_soft,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,8.640771162109376,4.129909250183106,0.14284341052055358,7.924,26.884,4.273983963012696,11.14,32.95,11.14,27.57018208503723
2,0.1,6.931720091552735,3.3755909883117674,0.11448196485042572,19.212,49.816,3.6498689277648926,21.2,53.02,21.2,27.06301188468933
3,0.1,5.787780122070313,2.866486091003418,0.09550575790643692,28.796,63.484,3.5929382293701173,26.53,60.09,26.53,30.534721851348877
4,0.1,5.067494883117676,2.5074401709747316,0.0836241485786438,36.274,71.336,3.220524563598633,32.89,66.23,32.89,27.26411485671997
5,0.1,4.556218928222656,2.2782635613632203,0.0751457060956955,41.842,76.296,3.044800954437256,37.67,72.13,37.67,27.238604068756104
6,0.1,4.246654554290772,2.1339200339126587,0.07002192090749741,45.138,79.016,2.8591652351379393,40.4,73.43,40.4,27.141812086105347
7,0.1,4.028092763824463,2.0407550467681883,0.06638919017791749,47.356,80.56,2.7983672687530516,40.44,73.95,40.44,27.237701892852783
8,0.1,3.8407668902587893,1.9449276208496094,0.06330337181568146,49.44,82.028,2.625015203857422,43.71,75.33,43.71,26.944002866744995
9,0.1,3.739747321395874,1.889298688621521,0.061646137764453886,50.88,83.028,2.8062353078842164,44.21,75.2,44.21,26.74065899848938
10,0.1,3.642578508453369,1.8441247568511963,0.060037606259584424,52.188,83.65,3.0710668907165526,40.61,73.27,44.21,26.98530912399292
11,0.1,3.5645429669952393,1.8095547339248657,0.05874284004211426,53.052,84.336,2.4255182971954348,48.06,78.74,48.06,28.88772201538086
12,0.1,3.5063220342254637,1.7740117831420898,0.057793766515254974,53.702,84.716,2.838097458267212,41.82,75.1,48.06,30.54404616355896
13,0.1,3.4281532596588136,1.7437002267837525,0.056489293814897534,54.422,85.288,2.758053625488281,44.73,77.41,48.06,27.833135843276978
14,0.1,3.3928212660980224,1.7169871404647827,0.055922268056869506,55.094,85.666,2.4869498039245603,46.44,78.13,48.06,26.296090126037598
15,0.1,3.363669091644287,1.6960138764572144,0.05545256584405899,55.214,85.83,2.4537213485717775,48.23,80.39,48.23,25.74349808692932
16,0.1,3.322005317001343,1.675760376434326,0.054764398735761645,56.068,86.05,2.3997642742156984,48.67,79.5,48.67,926.3398871421814
17,0.1,3.2753678233337404,1.6612674840164185,0.05397988132476807,56.612,86.324,2.534118416976929,46.08,77.72,48.67,926.1482527256012
18,0.1,3.2544657581329344,1.6444349435806274,0.053646221408843994,56.724,86.532,2.4970654449462892,46.81,77.82,48.67,25.833219051361084
19,0.1,3.2389487759399413,1.6330852944946288,0.0533965336227417,56.892,86.684,3.0015768501281737,42.75,73.75,48.67,95.71660280227661
20,0.1,3.220718269882202,1.6295509616088868,0.05308616770744324,57.538,86.586,2.148945058822632,51.2,81.6,51.2,29.165703773498535
21,0.1,3.204339475784302,1.6188883111953736,0.05282032514691353,57.378,86.868,2.062507731628418,51.84,81.87,51.84,26.867600917816162
22,0.1,3.16553014213562,1.5976391291046144,0.05218344301342964,57.832,87.126,2.366156201171875,48.93,79.17,51.84,26.35670280456543
23,0.1,3.1753562022399904,1.605607873840332,0.05234019971728325,58.054,86.936,2.180673247909546,51.69,81.96,51.84,27.852452754974365
24,0.1,3.14865390663147,1.5905072750091553,0.05190283456802368,58.0,87.272,2.2844304180145265,51.12,80.92,51.84,27.056219816207886
25,0.1,3.139480530090332,1.5964834243392945,0.05173319918751717,58.144,87.256,2.2519834835052492,50.82,80.66,51.84,27.039369821548462
26,0.1,3.123745566558838,1.5780060345458984,0.051492101333141325,58.518,87.478,2.2991266174316407,49.47,80.52,51.84,26.374714136123657
27,0.1,3.109580168380737,1.560056934814453,0.05127733615636826,58.8,87.586,2.0508561325073242,53.12,83.5,53.12,26.359796047210693
28,0.1,3.101617152633667,1.5724310095596314,0.05111760640382767,58.416,87.668,2.236343364715576,50.51,81.62,53.12,26.724676847457886
29,0.1,3.0867175581359865,1.5552396836853026,0.05088877899050712,58.97,87.598,2.3570681282043457,50.1,80.14,53.12,26.979557991027832
30,0.1,3.0799873564910887,1.5536436586761475,0.050774706021547315,59.17,87.556,2.251283798599243,50.45,79.88,53.12,26.749236822128296
31,0.1,3.059744562988281,1.5414935146713258,0.050444362637996676,59.348,87.768,2.6262951494216917,47.44,78.05,53.12,26.752623796463013
32,0.1,3.055826066436768,1.5495582758331299,0.050362332110404966,59.07,87.816,2.3458780841827394,50.09,80.64,53.12,26.73859667778015
33,0.1,3.060890392456055,1.5376229800796508,0.05047097539663315,59.192,87.846,2.8165747714996336,44.05,74.55,53.12,26.722398042678833
34,0.1,3.072815209579468,1.5473103860855102,0.05066118496179581,59.384,87.678,2.5367022117614746,48.04,78.69,53.12,27.940842866897583
35,0.1,3.0497289087677,1.5412558892822266,0.05027089260339737,59.326,87.756,2.281998476409912,50.09,79.85,53.12,27.09838104248047
36,0.1,3.0297610027313233,1.5289622461700438,0.04994557056546211,59.67,87.846,2.0766653902053833,53.02,83.18,53.12,27.119579792022705
37,0.1,3.0349221193695066,1.527603601989746,0.05003753195762634,59.78,87.91,2.214382984542847,52.38,81.64,53.12,27.104950666427612
38,0.1,3.011252733001709,1.5214746060943602,0.04963724570035934,59.598,88.088,2.6555113636016845,48.13,78.33,53.12,27.087793111801147
39,0.1,3.0034878921508787,1.515192121963501,0.04951334645032883,59.736,88.212,2.4027229850769043,50.57,80.45,53.12,27.099472999572754
40,0.1,3.0071408931732178,1.5218786965560913,0.04956515805363655,59.658,88.084,2.365934901046753,48.28,78.91,53.12,27.11929178237915
41,0.1,3.011145322036743,1.5186990357208252,0.04964019954442978,59.988,88.154,2.115317783546448,51.82,82.7,53.12,27.09862780570984
42,0.1,2.9924472958374024,1.506321069831848,0.04933707086801529,59.884,88.088,1.988506074142456,53.99,83.76,53.99,27.130857944488525
43,0.1,2.9768788888549804,1.5089165441131591,0.04906227971673012,60.076,88.146,2.8021899459838866,45.57,75.07,53.99,27.09929895401001
44,0.1,2.9803511408996584,1.503118222923279,0.04913262846231461,60.11,88.182,2.3292109283447266,51.74,81.82,53.99,27.102965593338013
45,0.1,2.9691460821533204,1.494506764717102,0.04895304658770561,60.044,88.406,2.8578018898010256,44.87,76.21,53.99,27.152371883392334
46,0.1,2.9869028816986085,1.503824668197632,0.049245147609710695,60.114,88.234,2.4058116738319395,49.29,79.51,53.99,27.12251901626587
47,0.1,2.963664829711914,1.494841789226532,0.04885730417966842,60.104,88.332,2.368404723548889,49.12,78.48,53.99,27.096856117248535
48,0.1,2.973037680206299,1.4995357207870483,0.04901187824010849,60.2,88.276,2.2085084505081176,51.63,81.4,53.99,27.118304014205933
49,0.1,2.956775601196289,1.4885213652420044,0.048748672683238986,60.442,88.5,2.1935707527160644,51.74,81.74,53.99,26.72242522239685
50,0.1,2.9760587757110595,1.4989722687149047,0.049065306204557416,60.312,88.406,2.4354570693969726,49.67,79.98,53.99,26.8191020488739
51,0.1,2.947224537658691,1.4842523046112062,0.04859026699066162,60.722,88.368,3.2243468002319338,44.15,77.04,53.99,26.70963978767395
52,0.1,2.9640828746032715,1.4938246774291992,0.04886632788658142,60.474,88.61,2.0512372970581056,54.36,83.94,54.36,26.720864057540894
53,0.1,2.929001615219116,1.480585194091797,0.04828026360273361,60.54,88.708,2.6762386947631835,47.03,77.56,54.36,26.733984231948853
54,0.1,2.9360263105773927,1.4698863751220703,0.04842079425573349,60.794,88.572,2.1831047588348387,52.48,82.37,54.36,26.693831205368042
55,0.1,2.931666937866211,1.4790954022979736,0.048329122791290285,60.558,88.578,2.1576239013671876,52.45,80.59,54.36,26.724215030670166
56,0.1,2.9557265878295897,1.4920318798065186,0.04872436602711677,60.618,88.482,2.1838571830749514,50.9,81.93,54.36,26.70591378211975
