epoch,lr,train_loss,train_loss_hard,train_loss_soft,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,6.7683364822387695,4.070773705902099,0.14790467613697053,6.932,24.256,3.8984507469177245,10.48,33.42,10.48,38.62130832672119
2,0.1,5.60208346496582,3.3663974780273436,0.1224651478767395,17.41,45.984,3.73087691116333,16.74,43.95,16.74,39.149330854415894
3,0.1,4.7064570498657226,2.806396911392212,0.10322683114767074,27.868,61.438,3.5349629554748536,23.86,55.85,23.86,38.62663292884827
4,0.1,4.057672113723755,2.428515119781494,0.08885670467376709,35.956,70.5,2.593119527053833,36.38,71.45,36.38,38.7212438583374
5,0.1,3.6297459878540037,2.1752881938934325,0.07944068420648574,41.992,75.734,2.428071068572998,40.56,74.81,40.56,38.41603112220764
6,0.1,3.349331123275757,2.0141416257095335,0.07319563470363617,45.658,79.05,2.365066710281372,42.64,76.2,42.64,39.29828405380249
7,0.1,3.122178596572876,1.8861543181991578,0.06809691993236541,48.84,81.514,2.276369868850708,44.66,76.92,44.66,36.786437034606934
8,0.1,2.9501705145263672,1.7867507259368896,0.06427484854221344,51.436,83.326,2.4393532665252686,43.76,76.8,44.66,800.9590163230896
9,0.1,2.811641654510498,1.7038348627471924,0.06124138209342957,53.536,84.33,2.266014323425293,47.04,78.46,47.04,38.62471795082092
10,0.1,2.7268979858398437,1.6568299761199952,0.05932759351491928,54.676,85.154,2.337436478424072,47.23,78.63,47.23,38.468148946762085
11,0.1,2.654882898712158,1.6139870189666747,0.057746543521881105,55.944,85.746,2.852138542938232,41.0,73.59,47.23,38.33315706253052
12,0.1,2.5752426377868654,1.562474426651001,0.056062669427394865,56.958,86.494,2.282298051071167,49.21,79.24,49.21,38.01958203315735
13,0.1,2.5420241136169435,1.5479949337387084,0.05525083276629448,57.606,86.892,2.284308469772339,48.16,78.14,49.21,38.232956886291504
14,0.1,2.4951294287109373,1.517101211013794,0.054268088043928145,58.208,87.364,2.049626601791382,52.14,81.25,52.14,38.24224901199341
15,0.1,2.440844543762207,1.4814160486221313,0.05312926617860794,59.132,87.892,2.2808827625274657,49.08,77.51,52.14,38.21146607398987
16,0.1,2.398724052886963,1.4621626608657836,0.05211383517384529,59.732,87.994,2.1642212127685547,50.97,81.32,52.14,38.08917307853699
17,0.1,2.388002538909912,1.4499864728927612,0.05196904101133346,60.09,88.156,2.4579138431549072,48.05,78.7,52.14,38.37737011909485
18,0.1,2.350156940765381,1.4303020449066162,0.05109393494606018,60.274,88.6,2.0914640029907225,50.92,80.92,52.14,38.344160079956055
19,0.1,2.3421166564941407,1.4271571591949463,0.050891814901828765,60.42,88.716,2.0220455505371095,52.39,82.9,52.39,38.7056941986084
20,0.1,2.3157675009918215,1.406838834953308,0.05038587765812874,61.06,88.762,3.653483214569092,36.69,68.08,52.39,38.02830386161804
21,0.1,2.284467600479126,1.3852684948348999,0.049744792195558545,61.584,89.224,1.9531138931274414,54.3,83.49,54.3,38.115859031677246
22,0.1,2.28449536567688,1.380803941192627,0.04981541849374771,61.454,89.18,2.1608795951843263,50.82,81.43,54.3,37.98086905479431
23,0.1,2.2621145863342287,1.367176506690979,0.04932894789457321,61.922,89.464,2.0186097606658935,53.42,83.18,54.3,38.382075786590576
24,0.1,2.2637356257629393,1.3754140419006349,0.0492508937060833,61.866,89.616,2.176551848220825,49.73,79.85,54.3,38.07840013504028
25,0.1,2.2392688230895996,1.3597807292556763,0.0487305766415596,62.298,89.398,2.0277865531921386,52.06,82.31,54.3,38.13063716888428
26,0.1,2.2252404835510253,1.348484853515625,0.04846868918299675,62.36,89.706,2.2554026290893554,50.17,80.2,54.3,38.0656361579895
27,0.1,2.2122317096710207,1.3343360417175294,0.048283240196704866,62.572,89.752,1.9357489343643188,54.7,83.41,54.7,38.08642101287842
28,0.1,2.1936403800964355,1.329554902610779,0.0477769666314125,62.866,89.854,2.3967957366943358,49.44,78.23,54.7,38.60185503959656
29,0.1,2.196507158126831,1.3385463856506348,0.047726061305999753,62.752,89.736,2.2368953720092772,49.35,81.49,54.7,38.58518600463867
