epoch,lr,train_loss,train_loss_hard,train_loss_soft,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,5.420082512817383,3.9522084980010987,0.026906080151796342,8.396,28.14,3.677859107208252,12.41,38.06,12.41,28.168228149414062
2,0.1,4.399192005157471,3.178691224441528,0.021951924890875815,20.12,50.492,3.2061904403686525,22.37,53.62,22.37,26.529377222061157
3,0.1,3.7774214404296873,2.7010327944183348,0.018960195661187174,28.966,63.192,3.4619861976623536,23.45,53.99,23.45,27.289347887039185
4,0.1,3.3910727696228027,2.398249409866333,0.017124594318270684,35.488,70.07,3.1334359588623046,28.49,61.54,28.49,27.512008905410767
5,0.1,3.100167138900757,2.1822846426010134,0.0156955064368248,40.37,74.762,2.7488799976348877,33.63,68.57,33.63,26.960023164749146
6,0.1,2.9005779191589354,2.029300048866272,0.01473381173402071,44.078,78.17,2.8813198844909667,33.78,66.01,33.78,26.943061113357544
7,0.1,2.7702828007507323,1.9325919226455688,0.014093647193312644,46.148,79.76,2.3000347263336183,41.62,75.22,41.62,25.999300241470337
8,0.1,2.6662741150665283,1.8527793838500977,0.013592847120165825,48.444,81.076,2.7327368576049804,36.64,69.75,41.62,26.465914249420166
9,0.1,2.5682133808898926,1.776444214477539,0.013124931798279286,50.204,82.49,2.5639544540405272,40.38,72.12,41.62,26.518702030181885
10,0.1,2.507146315612793,1.7315131760025024,0.012823357238173485,51.226,83.148,2.119944019508362,47.03,77.64,47.03,26.370456218719482
11,0.1,2.4595281547546386,1.6985124661254882,0.01258024943381548,51.934,83.902,2.5551931587219237,40.42,72.08,47.03,27.581349849700928
12,0.1,2.4171500103759764,1.6703316324615478,0.012359251490235328,52.91,84.462,2.098302151107788,46.49,77.94,47.03,27.03591227531433
13,0.1,2.3723895964050294,1.6359629668807982,0.01214381341278553,53.822,84.874,2.68311964263916,40.38,70.55,47.03,27.907444953918457
14,0.1,2.343221037979126,1.6131635607910155,0.012004994207024574,54.378,85.034,1.972246456336975,47.6,80.4,47.6,26.154737949371338
15,0.1,2.3152596395874023,1.5856917798614503,0.01189385744303465,55.074,85.766,2.4933216957092283,42.79,74.82,47.6,25.62771463394165
16,0.1,2.288296126785278,1.5738161278533935,0.011729594275653362,55.288,85.804,2.3471137283325194,45.34,77.04,47.6,25.558654069900513
17,0.1,2.2660127270507813,1.5557625909042359,0.011626026856601239,55.87,86.162,1.9918473150253295,48.46,80.3,48.46,949.328290939331
18,0.1,2.2476209471130373,1.537902880897522,0.011552105471491814,56.278,86.49,2.1060365322113035,47.4,78.65,48.46,26.713794231414795
19,0.1,2.218558883972168,1.5165521622467042,0.011408459370732307,56.724,86.786,2.071277335357666,47.38,79.19,48.46,27.338742971420288
20,0.1,2.2250912170410158,1.5218028240585326,0.011438982851207256,56.77,86.726,2.0848153730392456,50.05,80.06,50.05,26.684701204299927
21,0.1,2.210147792816162,1.5135429550170898,0.011354502463340759,57.174,86.692,1.9519893901824952,49.79,81.02,50.05,26.162149906158447
22,0.1,2.1864587462615965,1.4936418594360352,0.011247170464396477,57.476,87.15,2.1022801528930666,48.09,79.81,50.05,25.474424123764038
23,0.1,2.1755420849609375,1.485418461303711,0.011194006684720516,57.86,87.148,2.178777853012085,47.55,78.45,50.05,25.681248664855957
24,0.1,2.1611330001831055,1.4702413038635254,0.011140721482634544,57.956,87.33,2.4545490814208986,43.37,74.44,50.05,26.535021781921387
25,0.1,2.1607730992126464,1.4787916777801513,0.011104509869217873,57.904,87.298,2.135433875274658,48.07,79.31,50.05,28.077062129974365
26,0.1,2.1519036712646487,1.4642341916656494,0.011092082597613335,58.368,87.338,2.046982939147949,49.72,80.17,50.05,26.249706029891968
27,0.1,2.133023290100098,1.449272255821228,0.011003024724125862,58.548,87.734,2.0064303131103514,49.92,80.54,50.05,25.658095121383667
28,0.1,2.1325197090530397,1.4502182446289063,0.010995395157635212,58.52,87.768,2.064250991821289,48.26,79.9,50.05,25.61771297454834
29,0.1,2.1223974794006346,1.4429841568756103,0.010944573515057563,58.89,87.728,1.9243661684036255,51.38,81.4,51.38,3819.3842718601227
30,0.1,2.1208240055465697,1.4415451258087157,0.010937901908755302,59.144,87.806,2.2062981033325197,45.68,78.39,51.38,2121.235960006714
31,0.1,2.110053562927246,1.4369315538787841,0.010871779575645923,59.174,87.794,1.9196039266586304,51.24,81.61,51.38,27.63459825515747
32,0.1,2.1147698288726806,1.440313736152649,0.010895413740575314,58.978,87.736,2.2687634765625,45.2,77.6,51.38,26.04177689552307
33,0.1,2.1055189921188355,1.4301119246673584,0.010862992426156997,59.098,87.9,2.153884295272827,47.58,79.69,51.38,25.387322664260864
34,0.1,2.0976316050720216,1.4205476615142822,0.010838732583522796,59.632,88.006,2.3674412990570066,45.22,76.27,51.38,25.56375503540039
35,0.1,2.101494907684326,1.431994457054138,0.010824200646281243,59.172,87.996,2.352730713272095,45.78,76.94,51.38,819.5092620849609
36,0.1,2.085221266784668,1.4187392863845825,0.010748840822577476,59.418,88.222,2.3469195432662966,46.65,75.72,51.38,379.715665102005
37,0.1,2.0800091439819335,1.4119025020980835,0.01073482731282711,59.792,88.272,1.906746728515625,50.99,81.89,51.38,27.19075107574463
38,0.1,2.0820900842285157,1.4189099932479858,0.010723711586594582,59.582,88.178,2.1404006534576414,48.7,80.09,51.38,26.995163917541504
39,0.1,2.078266640396118,1.4107647267913819,0.010725658419430255,59.724,88.18,2.0921458629608156,50.16,81.54,51.38,26.963141918182373
40,0.1,2.076489349899292,1.413086614074707,0.010702703469395638,59.692,88.19,2.1703787300109862,47.69,78.71,51.38,27.772002935409546
41,0.1,2.0779412620925903,1.407301508102417,0.010736644566059113,59.862,88.258,2.3126475193023683,46.05,77.43,51.38,27.0693519115448
42,0.1,2.062910693511963,1.4013622591781616,0.01064241845548153,59.956,88.416,1.993999116897583,49.98,80.38,51.38,27.360862255096436
43,0.1,2.05802262260437,1.3984160579681397,0.01061573903053999,59.974,88.386,2.061741898727417,48.49,79.66,51.38,27.516840934753418
44,0.1,2.058697733154297,1.3994375567626953,0.010617023093104362,59.956,88.406,2.437162543487549,46.55,77.71,51.38,27.54867696762085
45,0.1,2.0526849853134155,1.3936665201568603,0.010592591567635536,60.042,88.342,1.8004901927947998,53.59,83.77,53.59,28.007312774658203
46,0.1,2.0590201139831543,1.4001643929290772,0.010616702465713024,59.886,88.52,2.178386931228638,48.65,78.55,53.59,27.37727403640747
47,0.1,2.057694217605591,1.3993345335388183,0.010609585612416268,60.048,88.524,2.3910971151351927,44.97,76.93,53.59,27.278255701065063
48,0.1,2.041221622619629,1.3866979239273072,0.010530255169272423,60.308,88.692,2.00026010055542,50.33,80.86,53.59,27.205291032791138
49,0.1,2.0493790101623537,1.390762775001526,0.01057810639679432,60.008,88.492,2.2960162406921385,46.75,77.52,53.59,27.80384588241577
50,0.1,2.0461947994995118,1.3864877920532226,0.010569928890764713,60.3,88.528,2.319900944519043,47.34,77.52,53.59,28.12309503555298
