epoch,lr,train_loss,train_loss_hard,train_loss_soft,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,9.617466513977051,4.102993061599731,0.9457462481880188,7.91,26.714,3.8811403846740724,12.35,36.96,12.35,25.787616968154907
2,0.1,7.889145111999512,3.436051496963501,0.7713899203109741,19.118,48.166,4.083697200012207,19.17,50.46,19.17,25.478142023086548
3,0.1,6.602277649230957,2.937496258544922,0.6416911894226074,28.538,61.816,4.149742683410644,22.37,52.52,22.37,25.599730014801025
4,0.1,5.815400142211914,2.615718296966553,0.563442624874115,35.194,69.298,3.3587494079589844,31.38,64.43,31.38,33.013524770736694
5,0.1,5.221404657897949,2.382692222290039,0.5037573184967041,40.312,74.092,3.0607591262817384,36.43,71.28,36.43,117.26510405540466
6,0.1,4.799397286529541,2.2064246115875243,0.46202312134742735,44.332,77.33,2.9853928466796873,38.3,71.73,38.3,955.3441526889801
7,0.1,4.530343768310547,2.102779078903198,0.434869278717041,46.586,79.324,2.5335916526794433,42.22,75.49,42.22,25.414379835128784
8,0.1,4.3114686640930175,2.0158411739349367,0.4129435095214844,48.36,80.776,2.741964448738098,40.72,74.34,42.22,25.461015939712524
9,0.1,4.155622510223389,1.9454921114730834,0.3978595564365387,49.948,81.816,3.0947376483917237,39.36,73.04,42.22,25.454536199569702
10,0.1,4.0287209324646,1.8894853632354736,0.3854972807884216,51.314,82.812,2.748976322174072,43.98,75.59,43.98,25.51969885826111
11,0.1,3.9288359661865235,1.851040226211548,0.37541448122024534,52.38,83.48,3.5109780620574953,35.96,67.08,43.98,25.54494285583496
12,0.1,3.8459242938232423,1.820338565750122,0.3669693763923645,53.026,83.766,2.4004884243011473,46.94,77.81,46.94,25.52698802947998
13,0.1,3.7683050752258302,1.7756623151397706,0.3600592399406433,53.94,84.286,2.7052947425842286,44.57,77.25,46.94,34.327983140945435
14,0.1,3.713275437927246,1.760934842185974,0.3541010021686554,54.1,84.618,2.352395495223999,47.99,79.6,47.99,1086.5825469493866
15,0.1,3.677253635787964,1.737457444152832,0.3510656140041351,54.87,85.022,2.608348839569092,46.51,76.82,47.99,25.45854616165161
16,0.1,3.630340812149048,1.722401713294983,0.34614249383926393,55.314,85.128,2.8367370544433594,45.4,75.93,47.99,25.510138988494873
17,0.1,3.5729445614624025,1.6977329555511476,0.3405097612762451,55.882,85.572,2.441088949203491,47.96,79.79,47.99,25.44225788116455
18,0.1,3.558086677017212,1.6908328485107422,0.3390837820529938,56.228,85.534,2.4136757888793947,47.89,78.61,47.99,25.61190390586853
19,0.1,3.5119884803771972,1.6704208515167236,0.3345972565937042,56.254,85.886,2.522099248313904,47.82,78.38,47.99,959.7693712711334
20,0.1,3.5202493693542483,1.677343793411255,0.3351971843624115,56.22,85.89,2.7046450679779053,45.61,76.8,47.99,25.426793813705444
21,0.1,3.483391870880127,1.654726267929077,0.33200359305381777,56.84,86.092,2.460523681640625,47.53,78.29,47.99,312.2848460674286
22,0.1,3.454773038024902,1.6451303842544556,0.3290259808826447,57.116,86.054,2.3181496421813965,48.75,79.63,48.75,25.51947021484375
23,0.1,3.4431370819091796,1.643207640762329,0.32769165820121765,57.08,86.452,2.4011531471252443,48.59,78.43,48.75,939.7480890750885
24,0.1,3.4208582984924316,1.629661124572754,0.3257534671592712,57.358,86.546,2.799366065979004,43.55,73.55,48.75,25.554862022399902
