epoch,lr,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
62,0.010000000000000002,1.0513972928237916,69.712,92.646,1.2219199184417724,64.79,90.01,64.79,16.136259078979492
63,0.010000000000000002,1.0099097181320191,70.578,93.128,1.205320827484131,65.17,90.15,65.17,16.289467811584473
64,0.010000000000000002,0.9852284056091308,71.096,93.372,1.1853993408203125,66.13,90.42,66.13,16.864389181137085
65,0.010000000000000002,0.9623890169525147,71.696,93.54,1.1965436264038085,65.66,90.39,66.13,16.913409948349
66,0.010000000000000002,0.939441124420166,72.384,93.938,1.2105204666137694,65.59,90.12,66.13,17.02350687980652
67,0.010000000000000002,0.9288443134880066,72.656,94.108,1.1994463829040527,66.18,90.43,66.18,16.956794023513794
68,0.010000000000000002,0.912602043838501,73.026,94.288,1.193270205116272,66.03,90.46,66.18,16.362727880477905
69,0.010000000000000002,0.9025089583587647,73.306,94.302,1.1973547632217407,65.64,90.59,66.18,16.793451070785522
70,0.010000000000000002,0.8927002764511108,73.728,94.46,1.1952487485885621,66.04,90.57,66.18,16.526202917099
71,0.010000000000000002,0.8844903256416321,73.696,94.668,1.2157782367706298,65.51,90.03,66.18,16.63877511024475
72,0.010000000000000002,0.8755106084060669,73.962,94.858,1.2077428352355957,66.04,90.61,66.18,16.330250024795532
73,0.010000000000000002,0.8780754062271118,73.906,94.6,1.2370305267333985,65.11,89.9,66.18,16.2982280254364
74,0.010000000000000002,0.8603812085723876,74.372,94.816,1.2375191776275636,65.5,90.08,66.18,16.195714235305786
75,0.010000000000000002,0.8590804167366027,74.594,94.872,1.2195213806152343,65.75,89.94,66.18,17.228168964385986
76,0.010000000000000002,0.8617559701538086,74.318,94.964,1.233625344467163,65.22,89.91,66.18,16.90496587753296
77,0.010000000000000002,0.85472299451828,74.518,94.874,1.259843229484558,64.6,90.11,66.18,16.562521934509277
78,0.010000000000000002,0.8500319195747376,74.728,94.992,1.2442751335144042,65.07,89.89,66.18,16.552501916885376
79,0.010000000000000002,0.8488593959808349,74.648,95.012,1.2502438190460206,64.82,89.97,66.18,16.443249940872192
80,0.0010000000000000002,0.8435666760253906,74.878,95.07,1.244178223991394,65.34,89.9,66.18,16.500087022781372
81,0.0010000000000000002,0.7463014819908143,78.022,96.1,1.1510963083267212,67.01,91.04,67.01,16.451574087142944
82,0.0010000000000000002,0.7129597182655334,79.04,96.388,1.1442984203338622,67.41,91.18,67.41,15.927268028259277
83,0.0010000000000000002,0.7055686952972412,79.45,96.418,1.1406286905288696,67.54,91.14,67.54,15.907031059265137
84,0.0010000000000000002,0.6976298163604736,79.436,96.558,1.1424112461090088,67.5,91.21,67.54,15.975219011306763
85,0.0010000000000000002,0.6899226098632812,79.848,96.548,1.1429197483062745,67.23,91.25,67.54,15.921546936035156
86,0.0010000000000000002,0.684212620716095,80.002,96.632,1.1371546590805053,67.49,91.29,67.54,16.008352994918823
87,0.0010000000000000002,0.683891115398407,79.99,96.558,1.1413348327636719,67.46,91.24,67.54,15.934120893478394
88,0.0010000000000000002,0.6757181172275544,80.354,96.684,1.145026787185669,67.58,91.12,67.58,15.890283107757568
89,0.0010000000000000002,0.6754324397468567,80.114,96.74,1.143919318962097,67.63,91.31,67.63,16.00953197479248
90,0.0010000000000000002,0.6751989988327026,80.438,96.716,1.1519535936355592,67.4,91.06,67.63,15.923763036727905
91,0.0010000000000000002,0.6728521767807006,80.256,96.744,1.145888886833191,67.29,90.98,67.63,15.909863233566284
92,0.0010000000000000002,0.6662140755653382,80.534,96.862,1.1416604448318481,67.59,91.1,67.63,15.942326068878174
93,0.0010000000000000002,0.6668968180084228,80.336,96.778,1.1455230644226073,67.37,91.18,67.63,15.938971996307373
94,0.0010000000000000002,0.6632868636894226,80.576,96.796,1.1460324550628662,67.38,91.1,67.63,15.90379285812378
95,0.0010000000000000002,0.6590749517440796,80.652,96.888,1.152929885482788,67.43,91.02,67.63,15.871971130371094
96,0.0010000000000000002,0.6576271931457519,80.588,96.84,1.152030548477173,67.33,91.0,67.63,15.93593430519104
97,0.0010000000000000002,0.6584849098968506,80.492,96.956,1.1520796014785766,67.5,90.97,67.63,16.06178569793701
98,0.0010000000000000002,0.6527908414268494,80.89,96.95,1.155182720184326,67.55,91.0,67.63,15.898994207382202
99,0.0010000000000000002,0.6514208431625366,80.684,97.05,1.1558743188858032,67.39,91.02,67.63,16.25628113746643
100,0.0010000000000000002,0.6524963996124268,80.772,96.97,1.153911259841919,67.44,90.91,67.63,16.92255187034607
