epoch,lr,train_loss,train_loss_hard,train_loss_soft,train_top1,train_top5,test_loss,test_top1,test_top5,best_test_top1,epoch_time_sec
1,0.1,6.854449291381836,4.121077500610352,0.14980970436096192,6.2,22.924,4.151446920013428,8.97,29.7,8.97,44.58914399147034
2,0.1,5.7080462643432615,3.4338481913757324,0.12472256757259369,15.878,43.976,3.4160323192596436,19.29,48.5,19.29,44.00194787979126
3,0.1,4.723584656066895,2.8278625315856933,0.10342666898727416,27.366,60.782,2.862633589553833,30.4,64.55,30.4,44.0866801738739
4,0.1,4.081035799636841,2.4320215132141114,0.0895320326280594,35.624,70.458,2.899498502731323,31.68,64.1,31.68,44.05201983451843
5,0.1,3.6416579722595217,2.1745061261749266,0.07982515342473984,41.492,75.954,2.518834673309326,39.27,73.58,39.27,44.038782835006714
6,0.1,3.348458026275635,2.011100431442261,0.07321586903095245,45.832,79.224,2.2618238948822023,44.13,76.84,44.13,44.034072160720825
7,0.1,3.1136865102386473,1.8712177530288696,0.06806492589950562,49.086,81.696,2.682868858718872,40.76,72.04,44.13,44.12549686431885
8,0.1,2.940060590057373,1.775798218383789,0.06413004613399506,51.796,83.26,2.728080485534668,40.99,72.8,44.13,43.98121213912964
9,0.1,2.8011392575073244,1.6967058820343017,0.06102457237124443,53.646,84.628,2.601871395111084,44.05,75.9,44.13,43.98429894447327
10,0.1,2.683265082244873,1.6234117541885376,0.058486225063800815,55.418,85.604,2.076599473953247,50.22,81.48,50.22,44.009519815444946
11,0.1,2.6037396340179444,1.5773838986206055,0.05672024033308029,56.6,86.39,2.41007947845459,47.07,78.02,50.22,44.033385038375854
12,0.1,2.531685637741089,1.5391424307250976,0.05506607564687729,57.58,86.988,2.2390657402038574,49.14,79.59,50.22,44.017383098602295
13,0.1,2.4682120977020263,1.4911409079360962,0.053832551354169846,58.752,87.682,2.1106081756591797,50.41,80.48,50.41,44.107197999954224
14,0.1,2.4062685970306394,1.4649068647766113,0.0523067237496376,59.576,87.97,3.0022099464416505,40.89,72.55,50.41,44.309844970703125
15,0.1,2.3847324389648437,1.4498412413787842,0.051869119340181354,59.836,88.204,2.366711331939697,47.89,78.16,50.41,44.21969723701477
16,0.1,2.3293736793518067,1.421537596359253,0.05058140242576599,60.606,88.644,2.6840636505126954,46.63,76.07,50.41,43.98745512962341
17,0.1,2.297766340332031,1.3944208479309081,0.050017372313737866,61.386,89.016,2.971760666275024,42.91,72.93,50.41,44.180016040802
18,0.1,2.289133546218872,1.3915222273254395,0.049792888662815095,61.278,88.902,2.2557070541381834,49.41,79.57,50.41,44.003562927246094
19,0.1,2.246270416030884,1.363346506614685,0.04889366128563881,62.266,89.518,2.1405669441223143,51.37,82.0,51.37,44.001280069351196
20,0.1,2.223544892425537,1.348400287284851,0.04841702324986458,62.4,89.562,1.9901166763305664,53.95,81.95,53.95,44.07451605796814
21,0.1,2.204455489578247,1.3388465993118286,0.04796975608229637,62.582,89.692,2.2234872192382813,51.68,81.24,53.95,44.40853500366211
22,0.1,2.1977316839599608,1.3346328538513184,0.0478254766368866,62.732,89.82,2.822902388000488,45.03,72.72,53.95,44.01481580734253
23,0.1,2.1758507025146483,1.3189145154953004,0.047387295138835904,63.104,90.054,2.460771093559265,49.33,79.37,53.95,44.09002089500427
24,0.1,2.150716608581543,1.299085980644226,0.04691167568922043,63.674,90.162,2.1552428382873536,52.91,82.43,53.95,44.07189679145813
25,0.1,2.136326946258545,1.2985978408813477,0.046469625920057295,63.838,90.002,2.026632424926758,53.7,82.62,53.95,44.183181047439575
26,0.1,2.1540407655334475,1.3088906940460205,0.04686235682487488,63.512,90.184,2.289648928833008,50.57,79.56,53.95,44.32572793960571
27,0.1,2.1136843185043337,1.2829533834075928,0.046006488449573515,63.884,90.558,2.450565347290039,47.41,78.62,53.95,44.799859046936035
28,0.1,2.122325881652832,1.2915532232666016,0.04614216485500336,64.152,90.27,1.9078995574951172,56.54,84.31,56.54,45.30828595161438
